Zona,Escolaridade,Gênero,Faixa etária,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
1,ENSINO MÉDIO COMPLETO,MASCULINO,30 a 34 anos,666,641,"0,9625",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,35 a 39 anos,772,753,"0,9754",0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,40 a 44 anos,792,773,"0,976",0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,45 a 49 anos,659,637,"0,9666",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,50 a 54 anos,678,660,"0,9735",0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,55 a 59 anos,730,716,"0,9808",0,7,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,60 a 64 anos,734,723,"0,985",0,9,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,65 a 69 anos,530,517,"0,9755",1,12,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,70 a 74 anos,417,412,"0,988",0,16,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,75 a 79 anos,209,207,"0,9904",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,80 a 84 anos,153,147,"0,9608",0,6,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,85 a 89 anos,80,78,"0,975",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,90 a 94 anos,24,23,"0,9583",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,MASCULINO,95 a 99 anos,4,4,1,0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,100 anos ou mais,1,1,1,0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,16 anos,170,0,0,1,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,17 anos,183,0,0,1,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,18 anos,199,8,"0,0402",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,19 anos,107,31,"0,2897",1,3,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,20 anos,131,57,"0,4351",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,21 a 24 anos,660,607,"0,9197",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,25 a 29 anos,354,347,"0,9802",0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,30 a 34 anos,191,186,"0,9738",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,35 a 39 anos,207,205,"0,9903",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,40 a 44 anos,198,191,"0,9646",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,45 a 49 anos,187,184,"0,984",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,50 a 54 anos,162,160,"0,9877",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,55 a 59 anos,132,132,1,0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,60 a 64 anos,143,139,"0,972",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,65 a 69 anos,115,114,"0,9913",0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,70 a 74 anos,49,48,"0,9796",0,4,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,75 a 79 anos,40,40,1,0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,80 a 84 anos,36,35,"0,9722",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,85 a 89 anos,26,25,"0,9615",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,90 a 94 anos,8,7,"0,875",0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,FEMININO,95 a 99 anos,4,3,"0,75",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,16 anos,83,0,0,1,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,17 anos,129,0,0,0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,18 anos,140,6,"0,0429",0,3,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,19 anos,124,32,"0,2581",1,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,20 anos,130,75,"0,5769",0,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,21 a 24 anos,701,663,"0,9458",0,1,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,25 a 29 anos,361,349,"0,9668",1,2,2022-07-11 22:32:34
1,ENSINO MÉDIO INCOMPLETO,MASCULINO,30 a 34 anos,211,202,"0,9573",0,0,2022-07-11 22:32:34
